URLGOOGLE	EAN	NOMEPRODUTO	Marca	SKU
https://www.google.com//shopping/product/14551079364189592750?hl=pt-BR&psb=1&q=7894194080527&oq=7894194080527&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUApYImBBaAFwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:8133063247762067130_0,pid:11971442549690301855&sa=X&ved=0ahUKEwi18NGY-5n7AhWYq5UCHQr2AugQ8wIISA	7894194080527	Rodapé Blend 8cm 651 Tarkett	Tarkett	24005651
https://www.google.com//shopping/product/16074790561450641168?hl=pt-BR&psb=1&q=7894194080688&oq=7894194080688&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUA5YJ2BiaAFwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:9302473910743286163_0,pid:11454872182122855627&sa=X&ved=0ahUKEwi8qf-c-5n7AhV0q5UCHdq5BxoQ8wIIRw	7894194080688	Rodapé Blend 8cm 660 Tarkett	Tarkett	24005660
https://www.google.com//shopping/product/10708589975934121283?hl=pt-BR&psb=1&q=7894194080800&oq=7894194080800&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUANYG2A8aAFwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:7006649271642737062_0,pid:15687512712339072109&sa=X&ved=0ahUKEwim2au3-5n7AhXonpUCHZ-MDS0Q8wIIRw	7894194080800	Rodapé Classy 10cm Sem Friso 120 Tarkett	Tarkett	24006120
https://www.google.com//shopping/product/14906858624796176390?hl=pt-BR&psb=1&q=7892162166945&oq=7892162166945&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUAVYG2BEaABwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:16038394484324945401_0,pid:973812604378717366,rsk:PC_1885878317671711893&sa=X&ved=0ahUKEwiCmbrs-5n7AhXbrpUCHVrLA-8Q8wIIZA	7892162166945	Coifa de Parede Linea Touch Inox 60cm 220V Franke	Franke	16694
https://www.google.com//shopping/product/9405161687905805742?hl=pt-BR&psb=1&q=7892162107443&oq=7892162107443&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUARYG2A_aABwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:443082969492383559_0,pid:559214357724049462&sa=X&ved=0ahUKEwj7isXw-5n7AhVsrpUCHR0IAwIQ8wIIWQ	7892162107443	Filtro De Carvão Redondo FMA/FSN/FPJ/FCBI Franke	Franke	10744
https://www.google.com//shopping/product/367223152514618590?hl=pt-BR&psb=1&q=7892162160363&oq=7892162160363&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUARYImBMaABwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:5501779990793249286_0,pid:4057622484733298900&sa=X&ved=0ahUKEwjXhNv0-5n7AhW4p5UCHQwOATcQ8wIIUg	7892162160363	Filtro De Carvão Ativado Coifa Glass Franke	Franke	16036
https://www.google.com//shopping/product/4415455250929720249?hl=pt-BR&psb=1&q=7892162106934&oq=7892162106934&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUAVYG2BEaABwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:1713473723324200263_0,local:1,pid:12219956934384464480,prmr:2&sa=X&ved=0ahUKEwiqhN34-5n7AhWxr5UCHW47DdUQ8wIIVg	7892162106934	Filtro De Carvão Quadrado Franke	Franke	10693
https://www.google.com//shopping/product/5558592627334877761?hl=pt-BR&psb=1&q=7892162164897&oq=7892162164897&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUARYGWBDaABwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:7554744975726206967_0,pid:5264949292740418852&sa=X&ved=0ahUKEwjdup39-5n7AhVbqpUCHV6ZCysQ8wIISQ	7892162164897	Filtro De Carvão Quadrado 175X221 Coifa FMY Franke	Franke	16489
https://www.google.com//shopping/product/13620016537258378251?hl=pt-BR&psb=1&q=7892162121364&oq=7892162121364&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUANYHGBFaABwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:18125129551549646693_0,local:1,pid:14154560926343422365,prmr:2&sa=X&ved=0ahUKEwiHr9yW_Jn7AhWqqpUCHYW9CbgQ8wIIXg	7892162121364	Kit com 2 Filtros de Carvão Ativado Redondo para Coifas Cartesio Franke	Franke	12136
https://www.google.com//shopping/product/5314066476670643638?hl=pt-BR&psb=1&q=7892162148590&oq=7892162148590&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUANYHGBDaABwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:6374270156247925355_0,pid:12192306319030746502&sa=X&ved=0ahUKEwjzuuya_Jn7AhW6q5UCHUoMAFoQ8wIIVw	7892162148590	Kit Sifão Triplo Tubo Extensivo Branco Franke	Franke	14859
https://www.google.com//shopping/product/13298540657186668244?hl=pt-BR&psb=1&q=7892162116407&oq=7892162116407&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUANYHGBDaABwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:3218995745256919556_0,pid:17733894612076689816,rsk:PC_12125978169410024771&sa=X&ved=0ahUKEwjxkPSe_Jn7AhVKupUCHXKzCDMQ8wIIYQ	7892162116407	Pasta Para Limpeza Inox Caixa Com 10 Peças 160G Franke	Franke	11640
https://www.google.com//url?url=https://produto.mercadolivre.com.br/MLB-2911015956-piso-vinilico-paviflex-fit-30x30cm-2mm-cinza-tarkett-504m-_JM%3Fmatt_tool%3D18956390%26utm_source%3Dgoogle_shopping%26utm_medium%3Dorganic&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwjC4Pyw_Jn7AhWwQ7gEHdoYBXIQ2SkIUg&usg=AOvVaw2R2F4ew6oLYCb9tjdx3JmK	7894194081227	Piso Vinílico Paviflex Fit 30x30x0,2cm Tarkett	Tarkett	24007906
https://www.google.com//shopping/product/9384835476036339819?hl=pt-BR&psb=1&q=7894194081159&oq=7894194081159&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUARYGWA9aABwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:17634685879455886053_0,pid:16980189989524709285&sa=X&ved=0ahUKEwiAwr62_Jn7AhUhp5UCHcHCB-YQ8wIIRw	7894194081159	Piso Vinílico Paviflex Fit 30x30x0,2cm Tarkett	Tarkett	24007106
https://www.google.com//shopping/product/11874177198748685007?hl=pt-BR&psb=1&q=7894194081203&oq=7894194081203&gs_lcp=Cgtwcm9kdWN0cy1jYxAMUARYIWBLaABwAHgAgAEAiAEAkgEAmAEAoAEBsAEA&sclient=products-cc&prds=eto:6412236127271300611_0,pid:10513749088554817588&sa=X&ved=0ahUKEwjBt_u7_Jn7AhXyppUCHZmvCi8Q8wIIRw	7894194081203	Piso Vinílico Paviflex Fit 30x30x0,2cm Tarkett	Tarkett	24007470
